2017/10/10 14:20:11 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_GB 
2017/10/10 14:20:12 INFO  - jmeter.JMeter: Loading user properties from: /usr/local/Cellar/jmeter/3.0/libexec/bin/user.properties 
2017/10/10 14:20:12 INFO  - jmeter.JMeter: Loading system properties from: /usr/local/Cellar/jmeter/3.0/libexec/bin/system.properties 
2017/10/10 14:20:12 INFO  - jmeter.JMeter: Copyright (c) 1998-2016 The Apache Software Foundation 
2017/10/10 14:20:12 INFO  - jmeter.JMeter: Version 3.0 r1743807 
2017/10/10 14:20:12 INFO  - jmeter.JMeter: java.version=1.8.0_65 
2017/10/10 14:20:12 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2017/10/10 14:20:12 INFO  - jmeter.JMeter: os.name=Mac OS X 
2017/10/10 14:20:12 INFO  - jmeter.JMeter: os.arch=x86_64 
2017/10/10 14:20:12 INFO  - jmeter.JMeter: os.version=10.13 
2017/10/10 14:20:12 INFO  - jmeter.JMeter: file.encoding=UTF-8 
2017/10/10 14:20:12 INFO  - jmeter.JMeter: Max memory     =514850816 
2017/10/10 14:20:12 INFO  - jmeter.JMeter: Available Processors =8 
2017/10/10 14:20:12 INFO  - jmeter.JMeter: Default Locale=English (United Kingdom) 
2017/10/10 14:20:12 INFO  - jmeter.JMeter: JMeter  Locale=English (United Kingdom) 
2017/10/10 14:20:12 INFO  - jmeter.JMeter: JMeterHome=/usr/local/Cellar/jmeter/3.0/libexec 
2017/10/10 14:20:12 INFO  - jmeter.JMeter: user.dir  =/Users/mkay/code/mag/api.ai.facebook 
2017/10/10 14:20:12 INFO  - jmeter.JMeter: PWD       =/Users/mkay/code/mag/api.ai.facebook 
2017/10/10 14:20:12 INFO  - jmeter.JMeter: IP: 10.90.20.121 Name: eumkay-2.local FullName: 10.90.20.121 
2017/10/10 14:20:12 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: com.apple.laf.AquaLookAndFeel [Mac OS X, System] 
2017/10/10 14:20:12 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2017/10/10 14:20:14 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2017/10/10 14:20:14 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2017/10/10 14:20:14 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2017/10/10 14:20:15 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/10/10 14:20:15 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/10/10 14:20:15 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/10/10 14:20:15 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/10/10 14:20:15 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2017/10/10 14:20:15 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/css is org.apache.jmeter.protocol.http.parser.CssParser 
2017/10/10 14:20:15 INFO  - jorphan.exec.KeyToolUtils: keytool found at 'keytool' 
2017/10/10 14:20:15 INFO  - jmeter.protocol.http.proxy.ProxyControl: HTTP(S) Test Script Recorder SSL Proxy will use keys that support embedded 3rd party resources in file /usr/local/Cellar/jmeter/3.0/libexec/bin/proxyserver.jks 
2017/10/10 14:20:15 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.mongodb.config.MongoSourceElement 
2017/10/10 14:20:15 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.mongodb.sampler.MongoScriptSampler 
2017/10/10 14:20:15 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.visualizers.DistributionGraphVisualizer 
2017/10/10 14:20:15 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2017/10/10 14:20:15 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2017/10/10 14:20:15 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2017/10/10 14:20:15 INFO  - jmeter.samplers.SampleResult: sampleresult.nanoThreadSleep=5000 
2017/10/10 14:20:15 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.visualizers.SplineVisualizer 
2017/10/10 14:20:25 INFO  - jmeter.services.FileServer: Default base='/Users/mkay/code/mag/api.ai.facebook' 
2017/10/10 14:20:25 INFO  - jmeter.gui.action.Load: Loading file: /Users/mkay/code/olympicchannel/homepage.jmx 
2017/10/10 14:20:25 INFO  - jmeter.services.FileServer: Set new base='/Users/mkay/code/olympicchannel' 
2017/10/10 14:20:25 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2017/10/10 14:20:25 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2017/10/10 14:20:25 INFO  - jmeter.save.SaveService: Using SaveService properties version 2.9 
2017/10/10 14:20:25 INFO  - jmeter.save.SaveService: All converter versions present and correct 
2017/10/10 14:20:25 INFO  - jmeter.save.SaveService: Loading file: /Users/mkay/code/olympicchannel/homepage.jmx 
2017/10/10 14:20:25 INFO  - jmeter.services.FileServer: Set new base='/Users/mkay/code/olympicchannel' 
2017/10/10 14:25:15 INFO  - jmeter.services.FileServer: Set new base='/Users/mkay/code/olympicchannel' 
2017/10/10 14:26:36 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2017/10/10 14:26:36 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2017/10/10 14:26:36 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
